日期,幣別,即期買入匯率,即期賣出匯率
20211123,HKD,3.537,3.597
20211123,GBP,37.05,37.45
20211123,AUD,19.98,20.18
20211123,CAD,21.77,21.97
20211123,SGD,20.27,20.45
20211123,CHF,29.72,29.97
20211123,JPY,0.2404,0.2444
20211123,ZAR,1.715,1.795
20211123,SEK,3.04,3.14
20211123,NZD,19.2,19.4
20211123,THB,0.8264,0.8664
20211123,EUR,31.07,31.47
20211123,CNY,4.329,4.379
20211122,USD,27.73,27.83
20211122,HKD,3.535,3.595
20211122,GBP,37.13,37.53
20211122,AUD,20.04,20.24
20211122,CAD,21.88,22.08
20211122,SGD,20.31,20.49
20211122,CHF,29.75,30
20211122,JPY,0.2412,0.2452
20211122,ZAR,1.726,1.806
20211122,SEK,3.05,3.15
20211122,NZD,19.38,19.58
20211122,THB,0.8306,0.8706
20211122,EUR,31.1,31.5
20211122,CNY,4.326,4.376
20211119,USD,27.735,27.835
20211119,HKD,3.536,3.596
20211119,GBP,37.3,37.7
20211119,AUD,20.13,20.33
20211119,CAD,21.97,22.17
20211119,SGD,20.37,20.55
20211119,CHF,29.84,30.09
20211119,JPY,0.241,0.245
20211119,ZAR,1.738,1.818
20211119,SEK,3.08,3.18
20211119,NZD,19.45,19.65
20211119,THB,0.8359,0.8759
20211119,EUR,31.33,31.73
20211119,CNY,4.327,4.377
20211118,USD,27.75,27.85
20211118,HKD,3.539,3.599
20211118,GBP,37.37,37.77
20211118,AUD,20.16,20.36
20211118,CAD,21.96,22.16
20211118,SGD,20.41,20.59
20211118,CHF,29.83,30.08
20211118,JPY,0.2419,0.2459
20211118,ZAR,1.757,1.837
20211118,SEK,3.1,3.2
20211118,NZD,19.49,19.69
20211118,THB,0.8381,0.8781
20211118,EUR,31.31,31.71
20211118,CNY,4.334,4.384
20211117,USD,27.76,27.86
20211117,HKD,3.54,3.6
20211117,GBP,37.21,37.61
20211117,AUD,20.18,20.38
20211117,CAD,22.07,22.27
20211117,SGD,20.39,20.57
20211117,CHF,29.72,29.97
20211117,JPY,0.2401,0.2441
20211117,ZAR,1.756,1.836
20211117,SEK,3.08,3.18
20211117,NZD,19.4,19.6
20211117,THB,0.8336,0.8736
20211117,EUR,31.24,31.64
20211117,CNY,4.328,4.378
20211116,USD,27.74,27.84
20211116,HKD,3.538,3.598
20211116,GBP,37.22,37.62
20211116,AUD,20.29,20.49
20211116,CAD,22.11,22.31
20211116,SGD,20.44,20.62
20211116,CHF,29.89,30.14
20211116,JPY,0.2413,0.2453
20211116,ZAR,1.78,1.86
20211116,SEK,3.12,3.22
20211116,NZD,19.45,19.65
20211116,THB,0.834,0.874
20211116,EUR,31.42,31.82
20211116,CNY,4.332,4.382
20211115,USD,27.73,27.83
20211115,HKD,3.535,3.595
20211115,GBP,37.1,37.5
20211115,AUD,20.32,20.52
20211115,CAD,22.07,22.27
20211115,SGD,20.47,20.65
20211115,CHF,30.06,30.31
20211115,JPY,0.2419,0.2459
20211115,ZAR,1.781,1.861
20211115,SEK,3.13,3.23
20211115,NZD,19.51,19.71
20211115,THB,0.8332,0.8732
20211115,EUR,31.61,32.01
20211115,CNY,4.33,4.38
20211112,USD,27.785,27.885
20211112,HKD,3.541,3.601
20211112,GBP,37.07,37.47
20211112,AUD,20.23,20.43
20211112,CAD,22.04,22.24
20211112,SGD,20.48,20.66
20211112,CHF,30.08,30.33
20211112,JPY,0.2421,0.2461
20211112,ZAR,1.775,1.855
20211112,SEK,3.15,3.25
20211112,NZD,19.47,19.67
20211112,THB,0.8334,0.8734
20211112,EUR,31.67,32.07
20211112,CNY,4.332,4.382
20211111,USD,27.78,27.88
20211111,HKD,3.542,3.602
20211111,GBP,37.08,37.48
20211111,AUD,20.22,20.42
20211111,CAD,22.13,22.33
20211111,SGD,20.44,20.62
20211111,CHF,30.12,30.37
20211111,JPY,0.2421,0.2461
20211111,ZAR,1.766,1.846
20211111,SEK,3.14,3.24
20211111,NZD,19.47,19.67
20211111,THB,0.8307,0.8707
20211111,EUR,31.7,32.1
